SubjectCode,CLO Name,CLO Details,LO Details
SWE201c,1,CLO1,"Compare and contrast software development methodologies with respect to environmental, organizational, and product constraints."
SWE201c,2,CLO2,Demonstrate the ability to participate effectively in agile practices/process for software development.
SWE201c,3,CLO3,Apply lean techniques / methods to software development
SWE201c,4,CLO4,Comfortably and effectively participate in various techniques and processes for building secure and high quality software.
DSR301m,1,CLO1,Understand the basics of the R language
DSR301m,2,CLO2,Understand how manipulate data with  R programming language and implement fundamental programming tasks
DSR301m,3,CLO3,"Learn and apply foundational knowledge of the SQL &R languages, and how to access databases from Jupyter notebooks using SQL and R"
DSR301m,4,CLO4,"Know how to wrangle data for data analysis,  develop models, improve models, evaluate and tune  the performance"
DSR301m,5,CLO5,"Understand how to describe and build graphs using R packages.  Implement various types of basic charts to visualize  like bar charts, histograms, pie charts, scatter plots, line plots, and box plots"
DSR301m,6,CLO6,"Implement a small data science project includes steps:  data wrangling, data analysis, data visualization, model development, model evaluation, and reporting"
BDI302c,1,CLO1,"Explain basis concepts in big data, architectural components and programming models used for scalable big data analysis."
BDI302c,2,CLO2,"Collect, store and organize data using big data solutions"
BDI302c,3,CLO3,Design a big data information system for small company
BDI302c,4,CLO4,Execute simple big data integration and processing on Hadoop and Spark platforms
BDI302c,5,CLO5,"Use tools and algorithms to create machine learning models that learn from data, and to scale those models up to big data problems"
BDI302c,6,CLO6,Model a problem into a graph database and perform analytical tasks over the graph in a scalable manner.
AIH301m,1,CLO1,"Learners should be able to describe the structure of healthcare systems, AI, and machine learning."
AIH301m,2,CLO2,The major challenges and the issues in efforts to improve healthcare delivery and system.
AIH301m,3,CLO3,"How to apply a framework for medical data mining, makes good research questions, and construct a data mining workflow."
AIH301m,4,CLO4,"Define important relationships between the fields of machine learning, biostatistics, and computer programming."
AIH301m,5,CLO5,The machine learning models in dynamic medical practices and discontinuous timelines impact clinical machine learning applications.
AIH301m,6,CLO6,"Principles and practical considerations for integrating AI into clinical workflows, improving the quality of healthcare applications."
AIH301m,7,CLO7,Learners should be able to understand AI-emerging technologies in the fields of healthcare.
AIH301m,8,CLO8,The ethical issues for the combination of healthcare system and AI.
ASR301c,1,CLO1,"Employ artificial intelligence techniques to test hypothesis in Python, and apply a machine learning model combining Numpy, Pandas, and Scikit-Learn"
ASR301c,2,CLO2,"Implement and evaluate machine learning models (neural networks, random forests, etc.) on scientific data in Python"
ASR301c,3,CLO3,Implement simple neural network models and describe the differences between Neural Networks and Random Forests
ASR301c,4,CLO4,Analyzing genome sequences to find similarities and identify target subsequences using predctive models
TMG301,1,CLO1,"Students will develop a solid understanding of the fundamental concepts and principles of text mining, including techniques for extracting, transforming, and analyzing textual data."
TMG301,2,CLO2,"Students can use machine learning/deep learning (neural networks, neural language models, recurrent neural networks, LSMT) for specific text-mining applications."
TMG301,3,CLO3,"Students will explore the methods and algorithms used for text classification and clustering tasks. They will learn to apply techniques like Naive Bayes, Support Vector Machines, and k-means clustering."
TMG301,4,CLO4,"Students will learn about different methods for representing text data, such as bag-of-words, term frequency-inverse document frequency (TF-IDF), and word embeddings. They will understand the strengths and limitations of each approach."
TMG301,5,CLO5,"Students will be aware of the popular applications in text mining, such as machine translation, question answering, and chatbots to design text mining-related applications in real-world"
SEG301,1,CLO1,"Understanding how search engines work: Students should be able to explain the underlying technology behind search engines, including the algorithms used to crawl, index and rank web pages."
SEG301,2,CLO2,Search engine optimization: Students should be able to apply best practices for optimizing web pages to improve their visibility in search engine results pages (SERPs).
SEG301,3,CLO3,Keyword research: Students should be able to conduct keyword research to identify the most relevant and profitable keywords by using popular retrieval models..
SEG301,4,CLO4,"Analytics and tracking: Students should be able to use analytics tools to track website traffic, user behavior, and campaign performance."
SEG301,5,CLO5,Solving problems: Students should be able to apply search engine techniques to solve the real-life problems
DPL302m,1,CLO1,"Should build, train and apply fully connected deep neural networks, implement efficient neural networks, identify key parameters in a neural network's architecture, and apply deep learning to students' own applications."
DPL302m,2,CLO2,"Could train and develop test sets, analyze bias/variance for building deep learning applications, apply optimization algorithms, and implement a neural network using TensorFlow."
DPL302m,3,CLO3,"Understand complex ML settings, diagnose errors in a machine learning system, prioritize strategies for reducing errors, and apply end-to-end learning, transfer learning, and multi-task learning."
DPL302m,4,CLO4,Build CNN models for visual detection and recognition tasks and use neural style transfer to generate art from various types of data.
DPL302m,5,CLO5,"Could build and train recurrent neural networks (RNNs), work with NLP and word embeddings, use HuggingFace tokenizers, and transformer models to solve different NLP tasks."
DPL302m,6,CLO6,"Implement a DL project includes steps: data collection, data wrangling, exploratory data analysis, model development, model evaluation, and reporting"
DWP301c,1,CLO1,Understanding cloud computing from a business perspective as also for becoming a cloud practitioner
DWP301c,2,CLO10,"Understanding of how serverless benefits developers, learn when to use serverless programming, serverless deployment models, and discover its top use cases and design patterns"
DWP301c,3,CLO11,Able to apply new knowledge to a real-life challenge and use your expertise to develop a successful full stack solution.
DWP301c,4,CLO2,"Understanding of HTML, CSS, JS and learn how a combination of both technologies can help developers create the structure and style of their websites"
DWP301c,5,CLO3,Hands-on experience using Git and GitHub
DWP301c,6,CLO4,Able to build rich Front-End applications with React and ES6 - connect React components using data and state - write rich React components with advanced features like Hooks and Redux
DWP301c,7,CLO5,Able to develop applications using asynchronous callbacks and promises - create REST APIs and perform CRUD operations - implement authentication and session management
DWP301c,8,CLO6,"Understand Python basics and the different data types and creating basic programs, working with data, and automating real-world tasks using Python"
DWP301c,9,CLO7,Able to develop web applications and AI powered solutions
DWP301c,10,CLO8,Understand fundamental database concepts and hands-on experience deploying your Django web app on the cloud
DWP301c,11,CLO9,"Able to build cloud native applications using current containerization tools and technologies such as containers, Docker, container registries, Kubernetes, OpenShift, and Istio"
NLP301c,1,CLO1,"Use logistic regression, naïve Bayes, and word vectors to implement sentiment analysis, complete analogies, and translate words."
NLP301c,2,CLO2,Use locality sensitive hashing for approximate nearest neighbors.
NLP301c,3,CLO3,"Use dynamic programming, hidden Markov models, and word embeddings to autocorrect misspelled words, autocomplete partial sentences, and identify part-of-speech tags for words."
NLP301c,4,CLO4,"Use dense and recurrent neural networks, LSTMs, GRUs, and Siamese networks in TensorFlow and Trax to perform advanced sentiment analysis, text generation, named entity recognition, and to identify duplicate questions."
NLP301c,5,CLO5,"Use encoder-decoder, causal, and self-attention to perform advanced machine translation of complete sentences, text summarization, question-answering and to build chatbots."
OJT202,1,CLO1,Professional knowledge and skills. Students can enhance and apply knowledge and skills that have been learned at university to real work in enterprises. Completing the tasks assigned by the enterprise according to the requirements of performance and progress.
OJT202,2,CLO2,"Soft skills. Students develop problem-solving skills, practice critical thinking and use foreign languages at work. Be able to communicate and work in teams, have a suitable style for the business environment."
OJT202,3,CLO3,"Attitude, responsibility, and self-control. Students understand the roles, functions, and duties of different jobs at the enterprise. Having a serious working attitude, respecting organizational culture, and complying with regulations at the workplace."
DBM302m,1,CLO1,Understand what is data mining and what are key components of the data mining pipeline
DBM302m,2,CLO2,Learn and apply one of the basic core of data mining: data visualization
DBM302m,3,CLO3,"Understand and apply one subtield in data mining: patern discovery, practice with the data visualization of data mining"
DBM302m,4,CLO4,Apply  another subtield in data mining: cluster analysis
AIM301m,1,CLO1,Pre-process data and set up a pre-trained neural network.
AIM301m,2,CLO2,"Evaluate models by accuracy, specificity, predictive value, confidence intervals, ROC curve, and F1 score."
AIM301m,3,CLO3,Diagnose diseases from x-rays and 3D MRI brain images.
AIM301m,4,CLO4,Walk through examples of prognostic tasks.
AIM301m,5,CLO5,Predict patient survival rates more accurately using tree-based models.
AIM301m,6,CLO6,"Navigate practical challenges in medicine, like missing data."
AIM301m,7,CLO7,Estimate treatment effects on patients using data from randomized trials.
AIM301m,8,CLO8,Explore methods to interpret diagnostic and prognostic models.
AIM301m,9,CLO9,Automate the task of labeling medical datasets using natural language processing.
DAT301m,1,CLO1,"Understand the basics of TensorFlow and application of TensorFlow framework in Machine Learning, Deep Learning."
DAT301m,2,CLO2,Understand how to build a basic neural network in TensorFlow and train a neural network for a computer vision application.
DAT301m,3,CLO3,"Understan the convolutional Neural Networks in TensorFlow, include the strategies to prevent overfitting, including augmentation and dropout"
DAT301m,4,CLO4,Undesrstand the transfer learning and how learned features can be extracted from models
DAT301m,5,CLO5,"Understand basic concepts of sentiment in text, word Embeddings, sequence model and literature"
DAT301m,6,CLO6,Implementing  natural language processing systems using TensorFlow
DAT301m,7,CLO7,"Understand the sequences, time series and prediction problems in TensorFlow"
DAT301m,8,CLO8,"Understand how to apply RNNs, GRUs, and LSTMs as you train them using text repositories."
ENW493c,1,CLO1,Explain the fundamental research methods and approaches and how they can be applied in academic or professional contexts.
ENW493c,2,CLO2,"Compare and contrast qualitative and quantitative research methodologies, including sampling methods and data collection techniques, to assess their suitability for different research contexts."
ENW493c,3,CLO3,"Develop a comprehensive research proposal that integrates historical perspectives, appropriate methodologies, ethical considerations, and strategies for publication and evaluation in Information and Communication Science and Technology."
ENW493c,4,CLO4,"Develop sophisticated argument essays through critical analysis, ethical sourcing, and anti-plagiarism, forming well-founded opinions and thesis statements"
ENW493c,5,CLO5,"Plan and conduct research on an academic topic, following these steps: topic selection, outlining, source gathering, note-taking, maintaining an academic tone, citing sources in MLA format, and avoiding plagiarism. Write a 7-8 page research paper demonstrating proper MLA formatting for source material."
EXE101,1,CLO1,Demonstrate understanding of key aspects of startup at a basic level
EXE101,2,CLO2,Demonstrate the ability to build a right team and express effective teamwork
EXE101,3,CLO3,Able to conduct survey and do market research
EXE101,4,CLO4,Able to build the right product and the reasonable business model
EXE101,5,CLO5,Able to create a preliminary pitch deck and present it convincingly
PMG201c,1,CLO1,Define project plan
PMG201c,2,CLO2,- Define a project’s scope - Build a work breakdown schedule - Allocate project resources- Create a project budget
PMG201c,3,CLO3,- Define key elements of communications management plan - Identify and manage risks
PMG201c,4,CLO4,Practise to: - Define project plan - Define a project’s scope - Build a work breakdown schedule - Allocate project resources - Create a project budget - Define key elements of communications management plan - Identify and manage risks
DSP391m,1,CLO1,Identify relevant data science techniques for addressing Capstone Project topics.
DSP391m,2,CLO10,Enhance oral presentation skills through participation in Team Meetings and Final Presentations.
DSP391m,3,CLO2,Formulate clear problem statements and objectives in project proposals.
DSP391m,4,CLO3,Plan and execute data collection and cleaning procedures effectively.
DSP391m,5,CLO4,Conduct exploratory data analysis (EDA) to uncover patterns and insights in data.
DSP391m,6,CLO5,Develop and deploy machine learning models tailored to project requirements.
DSP391m,7,CLO6,"Evaluate, refine, and optimize machine learning models for improved performance."
DSP391m,8,CLO7,Interpret and visualize results effectively to communicate findings to stakeholders.
DSP391m,9,CLO8,Summarize conclusions drawn from data analysis and provide actionable recommendations.
DSP391m,10,CLO9,Compile comprehensive final project reports integrating insights and methodologies learned throughout the course.
AIE301m,1,CLO1,Understand the fundamentals of trading.
AIE301m,2,CLO2,Define quantitative trading and the main types of quantitative trading strategies.
AIE301m,3,CLO3,"Basic steps in exchange arbitrage, statistical arbitrage, index arbitrage and the application of machine learning to financial use cases."
AIE301m,4,CLO4,Design basic quantitative trading strategies.
AIE301m,5,CLO5,Use Keras and Tensorflow to build machine learning models.
AIE301m,6,CLO6,"Build a pair trading strategy prediction model, a momentum-based trading model, and back test them."
AIE301m,7,CLO7,Understand the structure and techniques used in reinforcement learning (RL) strategies.
AIE301m,8,CLO8,Understand the benefits of using RL vs. other learning methods.
AIE301m,9,CLO9,"Describe the steps required to develop, test, and optimize an RL trading strategy."
AID301c,1,CLO1,Learners should be able to describe the business use case and the process of ingesting data.
AID301c,2,CLO2,"Learners should be able to use common techniques such as: EDA, visualization, hypothesis testing and statistical tools."
AID301c,3,CLO3,Learners should be able to describe and use common feature selection and feature engineering techniques
AID301c,4,CLO4,"Learners should be able to implement the model: machine learning and deep learning algorithms, evaluation and performance metrics."
AID301c,5,CLO5,Learners should be able to deploy the model by interacting with Apache Spark then progressing to a tutorial with Docker.
EXE201,1,CLO1,Build physical product/service
EXE201,2,CLO2,Be able to map out the customer acquisition plan
EXE201,3,CLO3,Launch product on different channels
EXE201,4,CLO4,Able to analyze feedback from the channels
MLN111,1,CLO1,"Nắm vững những nét khái quát nhất về triết học, triết học Mác – Lênin và vai trò của triết học Mác – Lênin trong đời sống xã hội Master the most general features of philosophy, Marxism – Leninism philosophy, and the role of Marxist-Leninist philosophy in social life."
MLN111,2,CLO2,Nắm vững nội dung của chủ nghĩa duy vật biện chứng: vấn đề vật chất và ý thức; phép biện chứng duy vật; lý luận nhận thức của chủ nghĩa duy vật biện chứng Master knowledge of dialectical materialism: matter and consciousness; materialistic dialectics; cognition theory of dialectical materialism
MLN111,3,CLO3,"Đánh giá được các nội dung của chủ nghĩa duy vật lịch sử: vấn đề hình thái kinh tế - xã hội; giai cấp và dân tộc; nhà nước và cách mạng xã hội chủ nghĩa; ý thức xã hội; triết học về con người Be able to evaluate matters of  historical materialism: the theory of socio-economic forms, class and peoples; state and revolution; social consciousness; philosophical theory of humans"
MLN111,4,CLO4,Hình thành tư duy triết học trong quá trình nhận thức và đánh giá được một số vấn đề lý luận và thực tiễn Develop philosophical thinking in the process of perceiving and evaluating some theoretical and practical issues
MLN111,5,CLO5,"Vận dụng được các quy luật của triết học Mác – Lênin vào phân tích, nhận định, đánh giá và giải quyết các vấn đề kinh tế - xã hội Apply the laws of Marxism – Leninism philosophy to analyze, identify, evaluate and solve socio-economic problems"
MLN111,6,CLO6,Hình thành các phương pháp luận chung nhất làm cơ sở nhận thức cho các chuyên ngành đào tạo Form the most general methodology as cognitive basis for specialized training majors
MLN111,7,CLO7,"Củng cố niềm tin của người học vào cuộc sống, các chủ trương, đường lối của Đảng, chính sách và pháp luật của Nhà nước Consolidate students' confidence in life, in guidelines and policies of the Party, and in policies and laws of the States"
MLN111,8,CLO8,"Xây dựng kỹ năng lập luận, soạn thảo bài viết, thuyết trình, tư duy phản biện, xử lý các quan hệ xã hội và hoạt động nhóm Develop skills of argument, writing, presentations, critical thinking, handling social relations and group activities"
MLN122,1,CLO1,"Nắm được lược sử hình thành, đối tượng, phương pháp và các chức năng cơ bản của kinh tế chính trị Mác – Lênin Understand history, objects, research methods and fundamental functions of Marxist-Leninist political economy"
MLN122,2,CLO2,"Hiểu và phân tích được các quan điểm của chủ nghĩa Mác – Lênin về hàng hóa, tiền tệ, thị trường, các quy luật kinh tế chủ yếu của sản xuất hàng hóa; giá trị thặng dư trong nền kinh tế thị trường Understand and analyze the Marxist-Leninist views on commodities, currency, market, the main economic laws of commodity production; surplus-value in the market economy"
MLN122,3,CLO3,"Hiểu được cạnh tranh và độc quyền trong nền kinh tế thị trường, cũng như những biểu hiện mới của độc quyền, độc quyền nhà nước trong điều kiện ngày nay; vai trò lịch sử của chủ nghĩa tư bản Understand competition and monopoly in the market economy, new manifestations of monopoly and state monopoly in current condition, historical significance of capitalism"
MLN122,4,CLO4,"Hiểu đúng được bản chất kinh tế thị trường định hướng XHCN và các quan hệ lợi ích kinh tế ở Việt Nam cũng như một số vấn đề kinh tế cơ bản của kinh tế thị trường định hướng XHCN ở Việt Nam hiện nay Understand the nature of socialist-oriented market economy and economic interest relationship in Vietnam, some basic economic issues of the socialist-oriented market economy in Vietnam today"
MLN122,5,CLO5,"Phân tích, đánh giá được quá trình công nghiệp hóa, hiện đại hóa và hội nhập kinh tế quốc tế của Việt Nam Analyze and evaluate Vietnam's process of industrialization, modernization and international economic integration"
MLN122,6,CLO6,Xây dựng phẩm chất đạo đức cách mạng và lập trường chính trị vững vàng. Thấy được giá trị khoa học trong các quan điểm kinh tế của chủ nghĩa Mác – Lênin Build revolutionary moral qualities and stable political standpoint. Understand scientific value in economic theory of Marxism - Leninism.
MLN122,7,CLO7,Hình thành các phương pháp luận chung nhất làm cơ sở nhận thức cho các chuyên ngành đào tạo Form the most general methodology as cognitive basis for specialized training majors
MLN122,8,CLO8,"Củng cố niềm tin của người học vào cuộc sống, các chủ trương, đường lối của Đảng, chính sách và pháp luật của Nhà nước Consolidate students' confidence in life, in guidelines and policies of the Party, and in policies and laws of the States"
MLN122,9,CLO9,"Xây dựng kỹ năng lập luận, soạn thảo bài viết, thuyết trình, tư duy phản biện, xử lý các quan hệ xã hội và hoạt động nhóm Develop skills of argument, writing, presentations, critical thinking, handling social relations and group activities"
REL301m,1,CLO1,Understand the concepts of Reinforcement Learning
REL301m,2,CLO2,Know how to implement dynamic programming as an efficient solution approach to an industrial control problem
REL301m,3,CLO3,"Understand several algorithms for estimating value: Temporal-Difference learning, Monte Carlo"
REL301m,4,CLO4,"Undersatnd and implement a model-based approach to RL: Temporal-Difference, Expected Sarsa, Q-learning"
REL301m,5,CLO5,"Understand several approaches that affect approximate value functions: supervised learning, fixed basis,  neural network."
REL301m,6,CLO6,Understand how function approximation is used to predict and control in Reinforcement Learning
REL301m,7,CLO7,"Understand and implement an RL solution to a problem step by step: problem formulation, appropriate algorithm selection, implementation, and empirical study into the effectiveness of the solution."
AIP491,1,CLO1,Identify and Analyze Contemporary AI Issues
AIP491,2,CLO10,Adaptation to Technological Advancements
AIP491,3,CLO2,Data Collection and Analysis
AIP491,4,CLO3,AI Solution Development
AIP491,5,CLO4,Project Management in AI Development
AIP491,6,CLO5,Professional Research and Reporting
AIP491,7,CLO6,Effective Communication and Presentation Skills
AIP491,8,CLO7,Professionalism and Ethical Conduct in AI
AIP491,9,CLO8,Innovation and Creative Problem Solving
AIP491,10,CLO9,Critical Evaluation and Self-Reflection
EXE401,1,CLO1,Plan and conduct advanced tasks both independently and collaboratively
EXE401,2,CLO2,Apply appropriate professional methods and techniques to develop different components of the startup project
EXE401,3,CLO3,Write a business plan based thesis fulfilling well-defined academic criteria
EXE401,4,CLO4,Demonstrate skills in presenting and defending the startup project
EXE401,5,CLO5,Exhibit professional working attitudes
HCM202,1,CLO1,"Nắm được về khái niệm, đối tượng, phương pháp nghiên cứu và ý nghĩa của môn học tư tưởng Hồ Chí Minh Understand the concept, object, research methods and meaningful learning of the course Ho Chi Minh ideology"
HCM202,2,CLO10,"Vận dụng và học tập, làm theo tư tưởng đạo đức phong cách Hồ Chí Minh, có ý thức phấn đấu trong học tập và rèn luyện Apply, study and follow Ho Chi Minh's thought, morality and style, strive in studying and training"
HCM202,3,CLO2,Phân tích được bối cảnh lịch sử Việt Nam từ cuối thế kỷ XIX đến thế kỷ XXI và cơ sở hình thành tư tưởng Hồ Chí Minh Analyze the historical context of Vietnam from the end of the 19th century to the 21st century and the basis for the formation of Ho Chi Minh ideology
HCM202,4,CLO3,"Nắm được về hệ thống quan điểm tư tưởng Hồ Chí Minh về các vấn đề độc lập dân tộc và chủ nghĩa xã hội, đại đoàn kết dân tộc và đoàn kết quốc tế, xây dựng Đảng và Nhà nước, đạo đức, văn hóa, con người Understanding Ho Chi Minh's system of ideological views on national independence and socialism, the great unity bloc and international solidarity, the construction of the Party and State, ethics, culture, people"
HCM202,5,CLO4,"Hiểu được vai trò nền tảng lý luận của Chủ nghĩa Mác-Lênin, tư tưởng Hồ Chí Minh đối với đường lối của Đảng và Nhà nước Understand the role of Marxism-Leninism and Ho Chi Minh's ideology as the ideological foundation for Vietnamese Communist Party and State's guidelines"
HCM202,6,CLO5,"Phân tích được sự kế thừa, phát triển các quan điểm của chủ nghĩa Mác-Lênin trong tư tưởng Hồ Chí Minh Analyze the inheritance and development of Marxist-Leninism Ho Chi Minh's ideology"
HCM202,7,CLO6,Hình thành khả năng làm việc nhóm và tự tìm kiếm tài liệu liên quan đến môn học và trình bày được nội dung của các tài liệu này Develop the ability to work in groups and search for course-related documents and be able to present knowledge in those documents
HCM202,8,CLO7,"Củng cố tinh thần yêu nước, có ý thức trách nhiệm công dân, ý thức kỷ luật và thái độ nghề nghiệp đúng đắn, ham tìm hiểu và học tập suốt đời Consolidate patriotism, have a sense of civic responsibility, sense of discipline and right professional attitude, be eager for learning and lifelong learning"
HCM202,9,CLO8,"Hình thành thái độ, tác phong làm việc chuyên nghiệp, phương pháp khoa học, có khả năng cập nhật kiến thức mới một cách chủ động Develop professional attitude and working style, have scientific methods, be able to  proactively update new knowledge"
HCM202,10,CLO9,"Xây dựng khả năng vận dụng những kiến thức đã học để giải quyết những vấn đề kinh tế, chính trị, văn hóa xã hội theo quan điểm của Đảng và nhà nước Build the ability to apply learned knowledge to solve economic, political, socio-cultural issues from the perspective of the Party and the State."
MLN131,1,CLO1,"Nắm vững những nội dung về sự ra đời, các giai đoạn phát triển, đối tượng, phương pháp và ý nghĩa của việc nghiên cứu chủ nghĩa xã hội khoa học  Master knowledge about the advent, development stages, objects, methods and meaningful studying of scientific socialism"
MLN131,2,CLO2,Nắm vững những nội dung của chủ nghĩa Mác – Lênin về sứ mệnh lịch sử của giai cấp công nhân Master Marxism-Leninism theory on the historical mission of the working class
MLN131,3,CLO3,"Nắm vững những quan điểm của chủ nghĩa Mác – Lênin về chủ nghĩa xã hội, thời kỳ quá độ lên chủ nghĩa xã hội bỏ qua chế độ tư bản chủ nghĩa ở Việt Nam và sự vận dụng sáng tạo của Đảng Cộng sản Việt Nam vào điều kiện cụ thể Việt Nam Master the Marxist-Leninist views on socialism, the transitional period towards socialism while ignoring the capitalist regime in Vietnam and the Communist Party of Vietnam's creative application to Vietnamese practices"
MLN131,4,CLO4,"Nắm vững những quan điểm của chủ nghĩa Mác – Lênin về nền dân chủ xã hội chủ nghĩa và nhà nước xã hội chủ nghĩa, quan điểm của Đảng Cộng sản Việt Nam về việc xây dựng và hoàn thiện nền dân chủ và nhà nước xã hội chủ nghĩa ở Việt Nam hiện nay Master the Marxist-Leninist views on socialist democracy and the socialist state, the Communist Party of Vietnam's view on building and perfecting socialist democracy and state in Vietnam today"
MLN131,5,CLO5,"Nắm vững cơ cấu xã hội - giai cấp và liên minh giai cấp, tầng lớp trong thời kỳ quá độ lên chủ nghĩa xã hội Master social-class structure and alliances of class in the transitional period to socialism."
MLN131,6,CLO6,"Nắm vững những quan điểm cơ bản của chủ nghĩa Mác – Lênin, đường lối, chính sách của Đảng và nhà nước Việt Nam về vấn đề dân tộc và tôn giáo Master fundamental viewpoints of Marxism-Leninism and the Vietnamese Party and State's  lines and policies on ethnicity, religion issues"
MLN131,7,CLO7,Nắm vững  những quan điểm cơ bản của chủ nghĩa Mác – Lênin về vấn đề gia đình trong thời kỳ quá độ lên chủ nghĩa xã hội Master fundamental viewpoints of Marxism-Leninism on family problems in the transitional period to socialism
MLN131,8,CLO8,"Củng cố niềm tin của người học vào cuộc sống, các chủ trương, đường lối của Đảng, chính sách và pháp luật của Nhà nước Consolidate students' confidence in life, in guidelines and policies of the Party, and in policies and laws of the States"
MLN131,9,CLO9,"Xây dựng kỹ năng lập luận, soạn thảo bài viết, thuyết trình, tư duy phản biện, xử lý các quan hệ xã hội và hoạt động nhóm Develop skills of argument, writing, presentations, critical thinking, handling social relations and group activities"
VNR202,1,CLO1,"Hiểu được về đối tượng, mục đích, nhiệm vụ, phương pháp nghiên cứu, học tập môn học Lịch sử Đảng Cộng sản Việt Nam Understand the objects, purposes, tasks, research and study methods of the History of CPV"
VNR202,2,CLO2,"Phân tích sự ra đời của Đảng Cộng sản Việt Nam (1920 - 1930), sự lãnh đạo của Đảng đối với cách mạng Việt Nam trong thời kỳ đấu tranh giành chính quyền (1930 - 1945), trong hai cuộc kháng chiến chống thực dân Pháp và đế quốc Mỹ xâm lược (1945 - 1975) Analyze the establishment of the Communist Party of Vietnam (1920 - 1930),  the Party's leadership over the period of Rise to power (1930 - 1945) and two resistance wars against French colonialist and American imperialist invasions (1945 - 1975)"
VNR202,3,CLO3,"Nắm được quá trình xây dựng và bảo vệ Tổ quốc, quá độ lên Chủ nghĩa xã hội, tiến hành công cuộc đổi mới toàn diện đất nước (1975 - 2018) của Đảng Cộng sản Việt Nam. Từ đó, khẳng định các thành công, nêu lên các hạn chế, tổng kết những kinh nghiệm về sự lãnh đạo trong thực tiễn cách mạng Understand the national construction and defense, the transition to socialism, the implementation of the comprehensive renovation of the country (1975 - 2018) of the Communist Party of Vietnam. Thereby, affirming the successes, listing the limitations and summarizing experiences on leadership in revolutionary practices."
VNR202,4,CLO4,"Hình thành niềm tin, niềm tự hào vào sự lãnh đạo của Đảng, định hướng phấn đấu theo mục tiêu, lý tưởng của Đảng Build confidence and pride in the Party's leadership, striving towards the Party's goals and ideals"
VNR202,5,CLO5,"Củng cố, nâng cao ý thức tự rèn luyện, tu dưỡng đạo đức cách mạng và nhận thức chính trị, tư tưởng Consolidate and raise the sense of self-training and self-improve revolutionary morality and political awareness"
VNR202,6,CLO6,Nâng cao ý thức rõ hơn về trách nhiệm công dân trước những nhiệm vụ trọng đại của đất nước Raise higher sense of civic responsibility over important duties of the country
VNR202,7,CLO7,"Xây dựng phương pháp tư duy khoa học về lịch sử, các kỹ năng lựa chọn tài liệu nghiên cứu và học tập môn học; các kỹ năng làm việc cá nhân, làm việc nhóm, kỹ năng thuyết trình và trình bày kết quả nghiên cứu trong lĩnh vực đời sống xã hội có liên quan chủ trương Đảng Develop scientific thinking methods on history, selecting research and learning materials skills, individual and group work skills, and presentation skills on research results of Party policy-related fields"
VNR202,8,CLO8,Vận dụng nhận thức lịch sử và thực tiễn để phê phán quan niệm sai trái về lịch sử của Đảng Apply awareness of history and practices to criticize the wrong perception of the Party's history
VNR202,9,CLO9,"Vận dụng quan điểm của Đảng vào cuộc sống và công tác, biết kết hợp với những kiến thức chuyên ngành để chủ động, tích cực giải quyết những thực tiễn đặt ra theo đường lối, chính sách, pháp luật của Đảng và Nhà nước Apply the Party's viewpoints to life and work, combine it with specialized knowledge to proactively solve problems in reality in accordance with the guidelines, policies and laws of the Party and State"
